innings_id,match_id,team_id,innings_number,runs,wickets,overs,is_declared
946,109309,9,2,249,10,45.1,0
947,109309,9,4,196,9,22.0,0
948,92390,13,1,348,10,91.0,0
949,92390,13,3,254,10,74.1,0
950,92390,9,2,499,10,103.0,0
951,92390,9,4,104,2,12.4,0
952,92399,13,2,125,10,34.5,0
953,92399,13,4,259,10,54.2,0
954,92399,9,1,280,10,54.4,0
955,92399,9,3,427,6,82.3,1
956,92408,13,1,347,10,97.1,0
957,92408,13,3,453,10,101.4,0
958,92408,9,2,143,10,35.4,0
959,92408,9,4,234,10,47.2,0
960,93641,27,1,171,8,20.0,0
961,93641,11,2,174,2,17.4,0
962,93650,27,1,195,6,20.0,0
963,93650,11,2,185,9,20.0,0
964,93657,27,2,132,10,31.5,0
965,93657,11,1,271,9,50.0,0
966,93659,27,2,169,10,30.3,0
967,93659,11,1,343,4,50.0,0
968,93666,27,1,284,9,50.0,0
969,93666,11,2,215,10,46.1,0
970,94327,11,1,183,9,20.0,0
971,94327,3,2,172,8,20.0,0
972,94334,11,2,210,3,19.3,0
973,94334,3,1,206,5,20.0,0
974,94345,11,1,239,9,50.0,0
975,94345,3,2,242,7,49.3,0
976,94354,11,2,248,10,43.1,0
977,94354,3,1,329,10,49.5,0
978,94363,11,2,271,10,42.0,0
979,94363,3,1,308,9,47.0,0
980,94372,11,2,301,10,73.4,0
981,94372,11,4,150,8,39.3,0
982,94372,3,1,211,10,57.3,0
983,94372,3,3,237,10,59.4,0
984,94381,11,1,615,10,141.3,0
985,94381,11,4,61,NULL,7.1,0
986,94381,3,2,194,10,54.2,0
987,94381,3,3,478,10,122.1,0
988,94404,11,1,191,10,49.4,0
989,94404,11,3,366,5,100.4,1
990,94404,5,2,42,10,13.5,0
991,94404,5,4,282,10,79.4,0
992,94426,11,1,358,10,103.4,0
993,94426,11,3,317,10,86.0,0
994,94426,5,2,328,10,99.2,0
995,94426,5,4,238,10,69.1,0
996,95142,10,2,157,2,25.5,0
997,95142,9,1,209,10,45.1,0
998,95151,10,1,328,6,50.0,0
999,95151,9,2,329,5,47.3,0
1000,95160,10,2,267,2,43.0,0
1001,95160,9,1,263,8,50.0,0
1002,95169,10,1,182,9,20.0,0
1003,95169,9,2,183,2,16.5,0
1004,95178,10,1,158,8,20.0,0
1005,95178,9,2,161,3,14.5,0
1006,95187,10,1,145,8,20.0,0
1007,95187,9,2,149,7,19.2,0
1008,95191,10,2,221,5,19.0,0
1009,95191,9,1,218,5,20.0,0
1010,95196,10,1,44,NULL,5.0,0
1011,95200,2277,2,87,9,27.4,0
1012,95200,6,1,253,7,73.2,0
1013,95205,10,1,450,9,144.1,1
1014,95205,10,3,152,10,46.1,0
1015,95205,6,2,269,9,98.0,1
1016,95205,6,4,132,10,38.0,0
1017,95209,10,2,146,10,65.0,0
1018,95209,10,4,185,10,50.0,0
1019,95209,6,1,164,10,71.5,0
1020,95209,6,3,268,10,59.5,0
1021,95218,10,2,295,5,47.4,0
1022,95218,6,1,294,6,50.0,0
1023,95223,10,2,230,3,36.5,0
1024,95223,6,1,227,10,45.5,0
1025,95227,10,2,325,6,45.5,0
