id,teamId,teamName,teamSName,countryName,category,playerId,playerName,battingStyle,bowlingStyle,role
145,4,Australia,AUS,Australia,"Test Teams",7662,"Glenn Maxwell","Right-hand bat","Right-arm offbreak","ALL ROUNDER"
146,4,Australia,AUS,Australia,"Test Teams",6250,"Mitchell Marsh","Right-hand bat","Right-arm fast-medium","ALL ROUNDER"
147,4,Australia,AUS,Australia,"Test Teams",9200,"Alex Carey","Left-hand bat",NULL,"WICKET KEEPER"
148,4,Australia,AUS,Australia,"Test Teams",10637,"Josh Inglis","Right-hand bat",NULL,"WICKET KEEPER"
149,4,Australia,AUS,Australia,"Test Teams",8095,"Pat Cummins","Right-hand bat","Right-arm fast",BOWLER
150,4,Australia,AUS,Australia,"Test Teams",7850,"Nathan Lyon","Right-hand bat","Right-arm offbreak",BOWLER
151,4,Australia,AUS,Australia,"Test Teams",7710,"Mitchell Starc","Left-hand bat","Left-arm fast",BOWLER
152,4,Australia,AUS,Australia,"Test Teams",8642,"Adam Zampa","Right-hand bat","Right-arm legbreak",BOWLER
153,4,Australia,AUS,Australia,"Test Teams",8136,"Sean Abbott","Right-hand bat","Right-arm fast-medium",BOWLER
154,4,Australia,AUS,Australia,"Test Teams",6258,"Josh Hazlewood","Left-hand bat","Right-arm fast-medium",BOWLER
155,4,Australia,AUS,Australia,"Test Teams",11689,"Xavier Bartlett","Right-hand bat","Right-arm fast-medium",BOWLER
156,4,Australia,AUS,Australia,"Test Teams",8631,"Scott Boland","Right-hand bat","Right-arm fast-medium",BOWLER
157,4,Australia,AUS,Australia,"Test Teams",15480,"Nathan Ellis","Right-hand bat","Right-arm fast-medium",BOWLER
158,4,Australia,AUS,Australia,"Test Teams",13141,"Matthew Kuhnemann","Left-hand bat","Left-arm orthodox",BOWLER
159,4,Australia,AUS,Australia,"Test Teams",13173,"Lance Morris","Right-hand bat","Right-arm fast",BOWLER
160,4,Australia,AUS,Australia,"Test Teams",15146,"Todd Murphy","Left-hand bat","Right-arm offbreak",BOWLER
161,4,Australia,AUS,Australia,"Test Teams",10280,"Jhye Richardson","Right-hand bat","Right-arm fast",BOWLER
162,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",13682,"Pathum Nissanka","Right-hand bat",NULL,BATSMEN
163,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",15081,"Pavan Rathnayake","Right-hand bat",NULL,BATSMEN
164,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",11545,"Oshada Fernando","Right-hand bat","Right-arm legbreak",BATSMEN
165,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",13884,"Pasindu Sooriyabandara","Right-hand bat",NULL,BATSMEN
166,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",10939,"Avishka Fernando","Right-hand bat","Right-arm fast-medium",BATSMEN
167,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",13187,"Nuwanidu Fernando","Right-hand bat","Right-arm offbreak",BATSMEN
168,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",1629,"Angelo Mathews","Right-hand bat","Right-arm fast-medium","ALL ROUNDER"
169,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",10940,"Kamindu Mendis","Left-hand bat","Right-arm offbreak","ALL ROUNDER"
170,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",7872,"Dhananjaya de Silva","Right-hand bat","Right-arm offbreak","ALL ROUNDER"
171,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",10934,"Charith Asalanka","Left-hand bat","Right-arm offbreak","ALL ROUNDER"
172,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",13694,"Janith Liyanage","Right-hand bat","Right-arm fast-medium","ALL ROUNDER"
173,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",13930,"Sonal Dinusha","Left-hand bat","Left-arm orthodox","ALL ROUNDER"
174,5,"Sri Lanka",SL,"Sri Lanka","Test Teams",18515,"Tharindu Rathnayake","Left-hand bat","Right-arm offbreak","ALL ROUNDER"
