match_id,innings_id,team_id,team_name,player_id,player_name,runs,balls,fours,sixes,strike_rate,position,out_desc,is_captain,is_keeper,start_date
38627,1,2,India,8808,Axar,9,7,0,1,128.57,9,"b Lakmal",0,0,"2022-03-12 14:00:00"
38627,1,2,India,7909,Shami,5,8,1,0,62.5,10,"c Dhananjaya de Silva b Jayawickrama",0,0,"2022-03-12 14:00:00"
38627,1,2,India,9311,Bumrah,0,10,0,0,0,11,"not out",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",9494,"Kusal Mendis",2,7,0,0,28.57,1,"c Shreyas Iyer b Bumrah",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",7952,Karunaratne,4,13,1,0,30.77,2,"b Shami",1,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",6243,Thirimanne,8,6,2,0,133.33,3,"c Shreyas Iyer b Bumrah",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",1629,Mathews,43,85,3,2,50.59,4,"c Rohit b Bumrah",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",7872,"Dhananjaya de Silva",10,24,1,0,41.67,5,"lbw b Shami",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",10934,Asalanka,5,8,1,0,62.5,6,"c Ashwin b Axar",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",7884,Dickwella,21,38,3,0,55.26,7,"c Pant b Bumrah",0,1,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",12688,Embuldeniya,1,16,0,0,6.25,8,"c Pant b Bumrah",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",1785,Lakmal,5,9,1,0,55.56,9,"b Ashwin",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",12131,Jayawickrama,1,1,0,0,100,10,"not out",0,0,"2022-03-12 14:00:00"
38627,2,5,"Sri Lanka",8413,"Vishwa Fernando",8,8,1,0,100,11,"st Pant b Ashwin",0,0,"2022-03-12 14:00:00"
38627,3,2,India,2195,"Mayank Agarwal",22,34,5,0,64.71,1,"c Dhananjaya de Silva b Embuldeniya",0,0,"2022-03-12 14:00:00"
38627,3,2,India,576,Rohit,46,79,4,0,58.23,2,"c Mathews b Dhananjaya de Silva",1,0,"2022-03-12 14:00:00"
38627,3,2,India,8424,"Hanuma Vihari",35,79,4,0,44.3,3,"b Jayawickrama",0,0,"2022-03-12 14:00:00"
38627,3,2,India,1413,Kohli,13,16,1,0,81.25,4,"lbw b Jayawickrama",0,0,"2022-03-12 14:00:00"
38627,3,2,India,10744,Pant,50,31,7,2,161.29,5,"c and b Jayawickrama",0,1,"2022-03-12 14:00:00"
38627,3,2,India,9428,"Shreyas Iyer",67,87,9,0,77.01,6,"lbw b Embuldeniya",0,0,"2022-03-12 14:00:00"
38627,3,2,India,587,"Ravindra Jadeja",22,45,3,0,48.89,7,"b Vishwa Fernando",0,0,"2022-03-12 14:00:00"
38627,3,2,India,1593,Ashwin,13,25,1,0,52,8,"c Dickwella b Jayawickrama",0,0,"2022-03-12 14:00:00"
38627,3,2,India,8808,Axar,9,10,1,0,90,9,"b Embuldeniya",0,0,"2022-03-12 14:00:00"
38627,3,2,India,7909,Shami,16,8,2,1,200,10,"not out",0,0,"2022-03-12 14:00:00"
38627,3,2,India,9311,Bumrah,0,0,0,0,0,11,,0,0,"2022-03-12 14:00:00"
38627,4,5,"Sri Lanka",6243,"Lahiru Thirimanne",0,3,0,0,0,1,"lbw b Bumrah",0,0,"2022-03-12 14:00:00"
38627,4,5,"Sri Lanka",7952,"Dimuth Karunaratne",107,174,15,0,61.49,2,"b Bumrah",1,0,"2022-03-12 14:00:00"
38627,4,5,"Sri Lanka",9494,"Kusal Mendis",54,60,8,0,90,3,"st Pant b Ashwin",0,0,"2022-03-12 14:00:00"
38627,4,5,"Sri Lanka",1629,"Angelo Mathews",1,5,0,0,20,4,"b Ravindra Jadeja",0,0,"2022-03-12 14:00:00"
38627,4,5,"Sri Lanka",7872,"Dhananjaya de Silva",4,21,0,0,19.05,5,"c Hanuma Vihari b Ashwin",0,0,"2022-03-12 14:00:00"
38627,4,5,"Sri Lanka",7884,"Niroshan Dickwella",12,39,0,0,30.77,6,"st Pant b Axar",0,1,"2022-03-12 14:00:00"
